seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
0,0.05,0.04,0.04,-0,-0,0.72,90degRot
1,0.05,0.04,0.04,0.01,-0,0.93,90degRot
2,0.05,0.04,0.04,0.01,-0.01,1,90degRot
3,0.05,0.05,0.04,0.01,-0,1.02,90degRot
4,0.04,0.04,0.04,0.01,-0,1.01,90degRot
5,0.05,0.03,0.04,0.01,-0,1.02,90degRot
6,0.05,0.04,0.04,0.01,-0,1.02,90degRot
7,0.05,0.05,0.03,0.01,-0,1.02,90degRot
8,0.05,0.05,0.04,0.01,-0,1.02,90degRot
9,0.05,0.05,0.04,0.01,-0,1.02,90degRot
10,0.05,0.05,0.04,0.01,-0,1.03,90degRot
11,0.12,0.07,0.03,0.03,-0,1.09,90degRot
12,0.04,-0.05,0.08,-0.02,-0.02,0.86,90degRot
13,0.04,0.05,0.04,0,-0.01,0.96,90degRot
14,0.05,0.04,0.04,0.01,-0,1,90degRot
15,0.05,0.05,0.03,0.01,-0,1.01,90degRot
16,0.06,0.04,0.05,0.01,-0,1.02,90degRot
17,0.05,0.05,0.03,0.01,-0,1.03,90degRot
18,0.05,0.04,0.03,0.01,-0.01,1.02,90degRot
19,0.06,0.04,0.04,0.01,-0,1.02,90degRot
20,0.05,0.05,0.03,0.01,-0,1.02,90degRot
21,0.05,0.04,0.04,0.01,-0,1.02,90degRot
22,0.06,0.05,0.03,0.01,-0,1.03,90degRot
23,0.05,0.04,0.04,0.01,-0,1.03,90degRot
24,0.05,0.05,0.04,0.01,-0.01,1.03,90degRot
25,0.06,0.04,0.04,0.01,-0,1.03,90degRot
26,0.06,0.05,0.04,0.01,-0.01,1.03,90degRot
27,0.06,0.04,0.04,0.01,-0,1.02,90degRot
28,0.05,0.04,0.04,0.01,-0,1.03,90degRot
29,0.06,0.04,0.03,0.01,-0,1.02,90degRot
30,0.06,0.04,0.04,0.01,-0.01,1.02,90degRot
31,0.05,0.04,0.03,0.01,-0,1.02,90degRot
32,0.06,0.05,0.04,0.01,-0.01,1.02,90degRot
33,0.06,0.04,0.03,0.01,-0,1.02,90degRot
34,0.05,0.05,0.03,0.01,-0.01,1.02,90degRot
35,0.05,0.04,0.03,0.01,-0,1.03,90degRot
36,0.05,0.05,0.04,0.01,-0.01,1.03,90degRot
37,0.05,0.04,0.03,0.01,-0.01,1.03,90degRot
38,0.05,0.04,0.03,0.01,-0,1.03,90degRot
39,0.06,0.05,0.04,0.01,-0,1.03,90degRot
40,0.06,0.04,0.03,0.01,-0,1.02,90degRot
41,0.05,0.05,0.05,0.01,-0,1.02,90degRot
42,0.06,0.04,0.05,0.01,-0,1.02,90degRot
43,0.05,0.04,0.04,0.01,-0,1.03,90degRot
44,0.05,0.05,0.04,0.01,-0.01,1.03,90degRot
45,0.05,0.05,0.03,0.01,-0,1.03,90degRot
46,0.06,0.04,0.03,0.01,-0.01,1.03,90degRot
47,0.05,0.05,0.02,0.01,-0,1.03,90degRot
48,0.06,0.03,0.03,0.01,-0,1.03,90degRot
49,0.06,0.05,0.03,0.01,-0.01,1.03,90degRot
50,0.06,0.04,0.03,0.01,-0,1.02,90degRot
51,0.05,0.04,0.04,0.01,-0.01,1.03,90degRot
52,0.06,0.05,0.04,0.02,-0.01,1.03,90degRot
53,0.05,0.05,0.03,0.01,-0,1.03,90degRot
54,0.05,0.04,0.04,0.01,-0.01,1.03,90degRot
55,0.05,0.04,0.05,0.01,-0.01,1.02,90degRot
56,0.06,0.04,0.03,0.01,-0.01,1.03,90degRot
57,0.06,0.05,0.03,0.02,-0,1.02,90degRot
58,0.06,0.05,0.03,0.01,-0,1.02,90degRot
59,0.06,0.04,0.03,0.01,-0.01,1.03,90degRot
60,0.05,0.05,0.05,0.01,0,1.02,90degRot
61,0.05,0.04,0.04,0.01,-0.01,1.03,90degRot
62,0.05,0.05,0.04,0.01,-0,1.02,90degRot
63,0.06,0.04,0.03,0.01,0,1.02,90degRot
64,0.05,0.05,0.04,0.01,-0.01,1.03,90degRot
65,0.05,0.03,0.03,0.01,-0,1.03,90degRot
66,0.06,0.05,0.04,0.01,-0.01,1.03,90degRot
67,0.05,0.04,0.04,0.01,-0.01,1.03,90degRot
68,0.05,0.05,0.03,0.01,-0,1.03,90degRot
69,0.05,0.04,0.04,0.01,-0,1.02,90degRot
70,0.06,0.04,0.03,0.01,-0,1.02,90degRot
71,0.05,0.05,0.03,0.01,-0.01,1.02,90degRot
72,0.06,0.05,0.02,0.01,-0,1.02,90degRot
73,0.05,0.05,0.03,0.01,-0.01,1.02,90degRot
74,0.05,0.05,0.04,0.01,-0,1.03,90degRot
75,0.05,0.05,0.04,0.01,-0,1.03,90degRot
76,0.05,0.05,0.03,0.01,-0.01,1.02,90degRot
77,0.06,0.04,0.05,0.01,-0,1.03,90degRot
78,0.05,0.05,0.04,0.01,-0.01,1.03,90degRot
79,0.05,0.05,0.04,0.01,-0.01,1.02,90degRot
80,0.05,0.04,0.04,0.01,-0,1.02,90degRot
81,0.06,0.05,0.03,0.01,-0.01,1.02,90degRot
82,0.06,0.05,0.03,0.01,-0,1.03,90degRot
83,0.06,0.04,0.03,0.01,-0,1.02,90degRot
84,0.05,0.05,0.04,0.01,-0,1.02,90degRot
85,0.05,0.05,0.03,0.01,0,1.02,90degRot
86,0.05,0.04,0.04,0.01,-0,1.02,90degRot
87,0.05,0.05,0.04,0.01,-0,1.02,90degRot
88,0.06,0.05,0.03,0.01,-0.01,1.03,90degRot
89,0.05,0.05,0.05,0.01,-0,1.03,90degRot
90,0.05,0.04,0.05,0,-0,1.03,90degRot
91,0.04,0.04,0.03,-0.01,0.01,1,90degRot
92,0.06,0.04,0.03,-0,0,1.02,90degRot
93,0.06,0.05,0.04,-0.01,-0.01,1.03,90degRot
94,0.06,0.05,0.02,0.01,-0,1.03,90degRot
95,0.05,0.04,0.03,0.01,0,1.03,90degRot
96,0.06,0.04,0.03,0.01,-0,1.03,90degRot
97,0.06,0.04,0.04,0,-0.01,1.03,90degRot
98,0.05,0.04,0.03,0.01,-0,1.02,90degRot
99,0.06,0.05,0.04,0.01,-0.01,1.02,90degRot
100,0.05,0.06,0.03,0,-0,1.02,90degRot
101,0.06,0.05,0.04,0.01,-0,1.03,90degRot
102,0.05,0.05,0.03,0.01,-0.01,1.03,90degRot
103,0.05,0.05,0.03,0.01,-0,1.02,90degRot
104,0.06,0.05,0.03,0.01,-0,1.02,90degRot
105,0.05,0.05,0.04,0.01,-0,1.03,90degRot
106,0.05,0.05,0.04,0.01,-0,1.03,90degRot
107,0.05,0.05,0.04,0.01,-0,1.03,90degRot
108,0.05,0.04,0.04,0.01,-0,1.02,90degRot
109,0.05,0.05,0.03,0,-0,1.03,90degRot
110,0.05,0.04,0.02,0.01,-0,1.03,90degRot
111,0.05,0.04,0.04,0.01,-0,1.03,90degRot
112,0.06,0.05,0.04,0.01,-0.01,1.03,90degRot
113,0.05,0.05,0.03,0.01,-0,1.02,90degRot
