seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
1,0.05,0.05,0.04,0.01,-0,0.94,sideways
2,0.05,0.04,0.04,0.01,-0,1,sideways
3,0.05,0.04,0.03,0.01,-0,1.02,sideways
4,0.06,0.04,0.04,0.01,-0,1.03,sideways
5,0.06,0.05,0.04,0.01,0,1.03,sideways
6,0.06,0.04,0.04,0.01,0,1.03,sideways
7,0.05,0.03,0.03,0.01,-0,1.02,sideways
8,0.06,0.05,0.04,0.01,-0,1.02,sideways
9,0.05,0.04,0.03,0.01,0,1.02,sideways
10,0.05,0.05,0.04,0.01,-0,1.02,sideways
11,0.05,0.05,0.03,0.01,-0,1.02,sideways
12,0.06,0.05,0.03,0.01,-0,1.02,sideways
13,0.05,0.04,0.03,0.01,-0,1.03,sideways
14,0.05,0.05,0.05,0.01,-0.01,1.03,sideways
15,0.05,0.04,0.04,0.01,-0,1.03,sideways
16,0.05,0.04,0.04,0.01,0,1.03,sideways
17,0.05,0.03,0.03,0.01,-0,1.02,sideways
18,0.05,0.05,0.03,0.01,-0,1.03,sideways
19,0.06,0.04,0.03,0.01,-0,1.02,sideways
20,0.06,0.04,0.03,0.01,-0,1.03,sideways
21,0.06,0.05,0.04,0.01,-0,1.03,sideways
22,0.05,0.04,0.04,0.01,-0,1.03,sideways
23,0.06,0.04,0.04,0.01,-0,1.03,sideways
24,0.05,0.04,0.04,0.01,-0,1.02,sideways
25,0.06,0.05,0.03,0.01,-0,1.03,sideways
26,0.05,0.05,0.03,0.01,-0,1.03,sideways
27,0.06,0.05,0.04,0.01,-0,1.03,sideways
28,0.05,0.04,0.04,0.01,-0,1.03,sideways
29,0.05,0.03,0.04,0.01,-0,1.03,sideways
30,0.06,0.05,0.03,0.01,-0,1.03,sideways
31,0.05,0.04,0.04,0.01,-0,1.03,sideways
32,0.06,0.04,0.04,0.01,-0,1.02,sideways
33,0.06,0.05,0.04,0.01,-0,1.02,sideways
34,0.05,0.03,0.04,0.01,-0,1.03,sideways
35,0.06,0.05,0.04,0.01,-0,1.03,sideways
36,0.06,0.03,0.04,0.01,-0,1.03,sideways
37,0.05,0.04,0.04,0.01,-0,1.03,sideways
38,0.05,0.05,0.04,0.01,-0,1.03,sideways
39,0.05,0.04,0.04,0.01,-0,1.02,sideways
40,0.06,0.04,0.03,0.01,-0,1.02,sideways
41,0.05,0.06,0.05,0.02,-0,1.03,sideways
42,0.06,0.04,0.03,0.01,-0,1.02,sideways
43,0.06,0.05,0.03,0.01,-0,1.03,sideways
44,0.05,0.04,0.04,0.02,-0,1.03,sideways
45,0.05,0.05,0.04,0.01,-0,1.02,sideways
46,0.05,0.04,0.04,0.02,-0,1.02,sideways
47,0.05,0.04,0.04,0.01,-0,1.03,sideways
48,0.05,0.05,0.04,0.01,-0,1.03,sideways
49,0.06,0.04,0.04,0.01,-0.01,1.03,sideways
50,0.06,0.05,0.03,0.01,-0.01,1.02,sideways
51,0.04,0.04,0.05,0.01,-0,1.02,sideways
52,0.06,0.04,0.03,0.01,-0.01,1.02,sideways
53,0.05,0.05,0.04,0.01,-0,1.02,sideways
54,0.05,0.04,0.03,0.01,-0,1.02,sideways
55,0.06,0.04,0.04,0.01,-0,1.03,sideways
56,0.05,0.04,0.03,0.01,-0,1.03,sideways
57,0.05,0.06,0.03,0.01,-0,1.03,sideways
58,0.05,0.05,0.04,0.01,-0,1.03,sideways
59,0.06,0.05,0.04,0.01,-0,1.02,sideways
60,0.05,0.04,0.03,0.01,-0,1.03,sideways
61,0.05,0.05,0.03,0.01,-0,1.03,sideways
62,0.05,0.03,0.03,0.01,-0,1.03,sideways
63,0.05,0.04,0.03,0.01,-0,1.03,sideways
64,0.06,0.05,0.03,0.01,-0,1.02,sideways
65,0.06,0.04,0.04,0.02,-0.01,1.03,sideways
