seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
0,0.05,0.04,0.04,0,0.01,0.72,Still
1,0.05,0.04,0.04,0,0.01,0.94,Still
2,0.06,0.04,0.03,0.01,0.01,1,Still
3,0.05,0.04,0.03,0.01,0.02,1.03,Still
4,0.06,0.06,0.04,0.01,0.01,1.03,Still
5,0.05,0.05,0.04,0.01,0.01,1.03,Still
6,0.05,0.04,0.04,0.01,0.01,1.03,Still
7,0.05,0.05,0.04,0.01,0.01,1.03,Still
8,0.05,0.05,0.03,0.01,0.01,1.03,Still
9,0.06,0.04,0.04,0.01,0.01,1.03,Still
10,0.06,0.04,0.04,0.01,0.01,1.03,Still
11,0.04,0.05,0.03,0.01,0.01,1.03,Still
12,0.04,0.05,0.03,0.01,0.02,1.03,Still
13,0.06,0.05,0.03,0.01,0.01,1.03,Still
14,0.05,0.05,0.04,0.01,0.01,1.03,Still
15,0.04,0.05,0.04,0.01,0.01,1.03,Still
16,0.06,0.05,0.02,0.01,0.01,1.03,Still
17,0.05,0.04,0.03,0.01,0.01,1.03,Still
18,0.05,0.04,0.03,0.01,0.01,1.03,Still
19,0.05,0.05,0.04,0.01,0.01,1.03,Still
20,0.06,0.05,0.04,0.01,0.01,1.03,Still
21,0.04,0.05,0.04,0.01,0.01,1.03,Still
22,0.05,0.04,0.03,0.01,0.01,1.03,Still
23,0.05,0.04,0.04,0.01,0.01,1.03,Still
24,0.06,0.04,0.05,0.01,0.01,1.04,Still
25,0.05,0.05,0.03,0.01,0.01,1.03,Still
26,0.05,0.05,0.04,0.01,0.01,1.03,Still
27,0.05,0.04,0.04,0.01,0.01,1.03,Still
28,0.05,0.05,0.04,0.01,0.02,1.03,Still
29,0.05,0.05,0.03,0.01,0.01,1.03,Still
30,0.05,0.04,0.03,0.01,0.01,1.03,Still
31,0.05,0.05,0.03,0.01,0.01,1.03,Still
32,0.05,0.04,0.02,0.01,0.01,1.03,Still
33,0.06,0.04,0.03,0.01,0.01,1.03,Still
34,0.05,0.05,0.03,0.01,0.01,1.03,Still
35,0.05,0.04,0.04,0.01,0.01,1.03,Still
36,0.06,0.04,0.04,0.01,0.01,1.04,Still
37,0.06,0.05,0.04,0.01,0.01,1.03,Still
38,0.05,0.04,0.03,0.01,0.01,1.03,Still
39,0.05,0.05,0.03,0.01,0.01,1.03,Still
40,0.04,0.05,0.04,0.01,0.01,1.03,Still
41,0.04,0.04,0.03,0.01,0.01,1.03,Still
42,0.05,0.04,0.03,0.01,0.01,1.03,Still
43,0.05,0.05,0.03,0.01,0.01,1.03,Still
44,0.06,0.04,0.03,0.01,0.01,1.03,Still
45,0.05,0.06,0.04,0.01,0.01,1.03,Still
46,0.06,0.04,0.04,0.01,0.01,1.03,Still
47,0.05,0.06,0.04,0.01,0.01,1.03,Still
48,0.05,0.04,0.04,0.01,0.01,1.03,Still
49,0.05,0.05,0.04,0.01,0.01,1.03,Still
50,0.05,0.04,0.04,0.01,0.01,1.04,Still
51,0.05,0.04,0.03,0.01,0.01,1.04,Still
52,0.06,0.06,0.03,0.01,0.01,1.03,Still
53,0.05,0.04,0.04,0.01,0.01,1.03,Still
54,0.05,0.06,0.03,0.01,0.01,1.03,Still
55,0.05,0.04,0.03,0.01,0.01,1.04,Still
56,0.05,0.05,0.03,0.01,0.01,1.03,Still
57,0.05,0.04,0.04,0.01,0.01,1.03,Still
58,0.06,0.04,0.03,0.01,0.01,1.03,Still
59,0.06,0.05,0.03,0.01,0.01,1.03,Still
60,0.05,0.05,0.04,0.01,0.01,1.03,Still
61,0.06,0.04,0.03,0.01,0.01,1.03,Still
62,0.05,0.04,0.04,0.01,0.01,1.03,Still
63,0.05,0.04,0.04,0.01,0.01,1.04,Still
64,0.05,0.06,0.05,0.01,0.01,1.03,Still
65,0.05,0.05,0.03,0.01,0.01,1.03,Still
66,0.05,0.05,0.03,0.01,0.01,1.03,Still
67,0.05,0.04,0.03,0.01,0.01,1.03,Still
68,0.05,0.05,0.03,0.01,0.01,1.03,Still
69,0.06,0.05,0.04,0.01,0.01,1.03,Still
70,0.05,0.04,0.04,0.01,0.01,1.03,Still
71,0.05,0.04,0.04,0.01,0.01,1.03,Still
72,0.05,0.04,0.04,0.01,0.01,1.03,Still
73,0.06,0.04,0.03,0.01,0.01,1.03,Still
74,0.06,0.04,0.03,0.01,0.01,1.03,Still
75,0.05,0.04,0.04,0.01,0.01,1.03,Still
76,0.06,0.04,0.04,0.01,0.01,1.03,Still
77,0.05,0.05,0.03,0.01,0.01,1.03,Still
78,0.06,0.05,0.03,0.01,0.01,1.04,Still
79,0.05,0.04,0.03,0.01,0.01,1.04,Still
80,0.06,0.04,0.03,0.01,0.01,1.03,Still
81,0.06,0.04,0.04,0.01,0.01,1.03,Still
82,0.05,0.05,0.04,0.01,0.01,1.03,Still
83,0.06,0.05,0.03,0.01,0.01,1.03,Still
84,0.05,0.05,0.04,0.01,0.01,1.03,Still
85,0.05,0.04,0.04,0.01,0.01,1.03,Still
86,0.05,0.05,0.04,0.01,0.01,1.03,Still
87,0.05,0.05,0.03,0.01,0.01,1.03,Still
88,0.05,0.03,0.03,0.01,0.01,1.03,Still
89,0.06,0.05,0.03,0.01,0.01,1.03,Still
90,0.06,0.04,0.03,0.01,0.01,1.03,Still
91,0.05,0.04,0.03,0.01,0.01,1.03,Still
92,0.05,0.05,0.05,0.01,0.01,1.03,Still
93,0.05,0.04,0.05,0.01,0.01,1.03,Still
94,0.05,0.04,0.04,0.01,0.01,1.03,Still
95,0.05,0.04,0.03,0.01,0.01,1.03,Still
96,0.06,0.05,0.04,0.01,0.01,1.03,Still
97,0.05,0.04,0.04,0.01,0.01,1.03,Still
98,0.06,0.05,0.03,0.01,0.01,1.03,Still
99,0.05,0.04,0.03,0.01,0.01,1.03,Still
100,0.05,0.04,0.04,0.01,0.01,1.03,Still
101,0.05,0.05,0.03,0.01,0.01,1.03,Still
102,0.06,0.04,0.04,0.01,0.01,1.03,Still
103,0.06,0.05,0.03,0.01,0.01,1.04,Still
104,0.06,0.04,0.03,0.01,0.01,1.03,Still
105,0.05,0.04,0.04,0.01,0.01,1.03,Still
106,0.05,0.05,0.03,0.01,0.01,1.03,Still
107,0.06,0.04,0.04,0.01,0.01,1.03,Still
108,0.05,0.05,0.03,0.01,0.01,1.04,Still
109,0.05,0.04,0.03,0.01,0.01,1.03,Still
110,0.05,0.05,0.04,0.01,0.01,1.03,Still
111,0.05,0.05,0.03,0.01,0.01,1.03,Still
112,0.06,0.05,0.03,0.01,0.01,1.04,Still
113,0.06,0.04,0.04,0.01,0.01,1.04,Still
114,0.05,0.05,0.04,0.01,0.01,1.04,Still
115,0.05,0.04,0.03,0.01,0.01,1.03,Still
116,0.06,0.04,0.04,0.01,0.01,1.03,Still
117,0.06,0.05,0.03,0.01,0.01,1.03,Still
118,0.06,0.04,0.03,0.01,0.01,1.03,Still
119,0.05,0.04,0.04,0.01,0.01,1.03,Still
120,0.05,0.04,0.03,0.01,0.01,1.03,Still
121,0.05,0.04,0.03,0.01,0.01,1.03,Still
122,0.05,0.04,0.04,0.01,0.01,1.03,Still
123,0.05,0.04,0.04,0.01,0.01,1.03,Still
124,0.06,0.04,0.04,0.01,0.01,1.03,Still
125,0.06,0.04,0.03,0.01,0.01,1.03,Still
126,0.06,0.05,0.03,0.01,0.01,1.03,Still
127,0.05,0.04,0.03,0.01,0.01,1.03,Still
128,0.07,0.04,0.05,0.01,0.01,1.03,Still
129,0.05,0.05,0.04,0.01,0.01,1.03,Still
130,0.05,0.04,0.03,0.01,0.01,1.03,Still
131,0.06,0.04,0.03,0.01,0.01,1.03,Still
132,0.06,0.03,0.04,0.01,0.01,1.03,Still
133,0.05,0.05,0.04,0.01,0.01,1.03,Still
134,0.06,0.05,0.03,0.01,0.01,1.03,Still
135,0.06,0.05,0.04,0.01,0.01,1.03,Still
136,0.06,0.05,0.04,0.01,0.01,1.03,Still
137,0.05,0.04,0.03,0.01,0.01,1.03,Still
138,0.05,0.04,0.03,0.01,0.01,1.03,Still
139,0.05,0.05,0.02,0.01,0.01,1.03,Still
140,0.06,0.04,0.02,0.01,0.01,1.03,Still
141,0.05,0.04,0.04,0.01,0.01,1.03,Still
142,0.05,0.05,0.04,0.01,0.01,1.03,Still
143,0.05,0.05,0.04,0.01,0.01,1.03,Still
144,0.05,0.04,0.03,0.01,0.01,1.03,Still
145,0.05,0.05,0.03,0.01,0.01,1.03,Still
146,0.06,0.04,0.02,0.01,0.01,1.03,Still
147,0.05,0.06,0.03,0.01,0.01,1.03,Still
148,0.06,0.05,0.04,0.01,0.01,1.03,Still
149,0.05,0.05,0.03,0.01,0.01,1.03,Still
150,0.05,0.04,0.03,0.01,0.01,1.03,Still
151,0.05,0.05,0.03,0.01,0.01,1.04,Still
152,0.05,0.04,0.03,0.01,0.01,1.03,Still
153,0.06,0.06,0.04,0.01,0.01,1.03,Still
154,0.06,0.03,0.03,0.01,0.01,1.03,Still
155,0.05,0.05,0.04,0.01,0.01,1.03,Still
156,0.05,0.04,0.03,0.01,0.01,1.03,Still
157,0.06,0.03,0.04,0.01,0.01,1.03,Still
158,0.05,0.04,0.04,0.01,0.01,1.03,Still
159,0.05,0.04,0.03,0.01,0.01,1.03,Still
160,0.06,0.04,0.03,0.01,0.01,1.03,Still
161,0.05,0.04,0.03,0.01,0.01,1.03,Still
162,0.05,0.05,0.04,0.01,0.01,1.03,Still
163,0.05,0.05,0.03,0.01,0.01,1.03,Still
164,0.05,0.05,0.04,0.01,0.01,1.03,Still
165,0.06,0.04,0.03,0.01,0.01,1.03,Still
166,0.06,0.05,0.03,0.01,0.01,1.03,Still
167,0.05,0.04,0.04,0.01,0.01,1.04,Still
168,0.05,0.05,0.03,0.01,0.01,1.03,Still
169,0.05,0.04,0.03,0.01,0.01,1.03,Still
170,0.05,0.04,0.04,0.01,0.01,1.03,Still
171,0.05,0.04,0.03,0.01,0.01,1.03,Still
172,0.05,0.05,0.03,0.01,0.01,1.03,Still
173,0.05,0.05,0.04,0.01,0.01,1.03,Still
174,0.06,0.04,0.03,0.01,0.01,1.03,Still
175,0.06,0.04,0.03,0.01,0.01,1.03,Still
176,0.05,0.05,0.04,0.01,0.01,1.03,Still
177,0.05,0.05,0.04,0.01,0.01,1.03,Still
178,0.05,0.05,0.04,0.01,0.01,1.03,Still
179,0.05,0.05,0.04,0.01,0.02,1.03,Still
180,0.05,0.05,0.03,0.01,0.01,1.03,Still
181,0.05,0.05,0.03,0.01,0.01,1.03,Still
182,0.05,0.04,0.03,0.01,0.01,1.03,Still
183,0.05,0.04,0.03,0.01,0.01,1.03,Still
184,0.05,0.04,0.03,0.01,0.01,1.03,Still
185,0.05,0.04,0.03,0.01,0.01,1.04,Still
186,0.06,0.05,0.04,0.01,0.01,1.03,Still
187,0.05,0.05,0.05,0.01,0.01,1.03,Still
188,0.05,0.04,0.04,0.01,0.01,1.03,Still
189,0.05,0.03,0.05,0.02,0.01,1.03,Still
190,0.05,0.04,0.03,0.01,0.01,1.03,Still
191,0.05,0.04,0.03,0.01,0.01,1.03,Still
192,0.06,0.05,0.03,0.01,0.01,1.03,Still
193,0.04,0.04,0.03,0.01,0.01,1.03,Still
194,0.05,0.05,0.03,0.01,0.01,1.03,Still
195,0.05,0.04,0.03,0.01,0.01,1.03,Still
196,0.05,0.05,0.04,0.01,0.01,1.03,Still
197,0.05,0.05,0.04,0.01,0.01,1.03,Still
198,0.05,0.05,0.05,0.01,0.01,1.03,Still
199,0.05,0.05,0.03,0.01,0.01,1.04,Still
200,0.05,0.05,0.04,0.01,0.01,1.04,Still
201,0.05,0.05,0.03,0.01,0.01,1.03,Still
202,0.06,0.04,0.04,0.01,0.01,1.04,Still
203,0.05,0.05,0.04,0.01,0.01,1.04,Still
204,0.05,0.04,0.04,0.01,0.01,1.03,Still
205,0.05,0.04,0.04,0.01,0.01,1.03,Still
206,0.06,0.05,0.04,0.01,0.01,1.03,Still
207,0.06,0.04,0.03,0.01,0.01,1.04,Still
208,0.05,0.03,0.04,0.01,0.01,1.03,Still
209,0.05,0.05,0.03,0.01,0.01,1.03,Still
210,0.05,0.04,0.03,0.01,0.01,1.03,Still
211,0.05,0.04,0.03,0.01,0.01,1.03,Still
212,0.06,0.04,0.03,0.01,0.01,1.03,Still
213,0.04,0.04,0.04,0.01,0.01,1.03,Still
214,0.05,0.04,0.03,0.01,0.01,1.03,Still
215,0.05,0.05,0.03,0.01,0.01,1.03,Still
216,0.05,0.05,0.04,0.01,0.01,1.03,Still
217,0.05,0.04,0.04,0.01,0.01,1.03,Still
218,0.06,0.03,0.03,0.01,0.01,1.03,Still
219,0.06,0.05,0.03,0.01,0.01,1.03,Still
220,0.06,0.05,0.03,0.01,0.01,1.03,Still
221,0.04,0.04,0.03,0.01,0.01,1.03,Still
222,0.05,0.04,0.03,0.01,0.01,1.03,Still
223,0.05,0.04,0.04,0.01,0.01,1.03,Still
224,0.05,0.05,0.03,0.01,0.01,1.03,Still
225,0.05,0.05,0.03,0.01,0.01,1.03,Still
226,0.05,0.04,0.04,0.01,0.01,1.03,Still
227,0.06,0.04,0.04,0.01,0.01,1.03,Still
228,0.06,0.05,0.03,0.01,0.01,1.03,Still
229,0.06,0.05,0.04,0.01,0.01,1.03,Still
230,0.06,0.05,0.03,0.01,0.01,1.03,Still
231,0.06,0.04,0.03,0.01,0.01,1.03,Still
232,0.05,0.05,0.04,0.01,0.01,1.03,Still
233,0.06,0.04,0.03,0.01,0.01,1.03,Still
234,0.06,0.05,0.05,0.01,0.01,1.03,Still
235,0.05,0.05,0.03,0.02,0.01,1.03,Still
236,0.05,0.05,0.04,0.01,0.01,1.04,Still
237,0.05,0.04,0.04,0.01,0.01,1.03,Still
238,0.07,0.05,0.05,0.01,0.01,1.03,Still
239,0.05,0.05,0.04,0.01,0.01,1.03,Still
240,0.06,0.06,0.04,0.01,0.01,1.03,Still
241,0.05,0.05,0.04,0.01,0.01,1.03,Still
242,0.05,0.04,0.03,0.01,0.01,1.03,Still
243,0.05,0.05,0.03,0.01,0.01,1.03,Still
244,0.06,0.03,0.04,0.01,0.01,1.03,Still
245,0.05,0.03,0.04,0.01,0.01,1.03,Still
246,0.05,0.04,0.04,0.01,0.01,1.03,Still
247,0.05,0.04,0.03,0.01,0.01,1.03,Still
248,0.06,0.04,0.03,0.01,0.01,1.03,Still
249,0.06,0.05,0.03,0.01,0.01,1.03,Still
250,0.04,0.04,0.03,0.01,0.01,1.03,Still
251,0.06,0.05,0.02,0.01,0.01,1.03,Still
252,0.06,0.05,0.04,0.01,0.01,1.03,Still
253,0.05,0.05,0.04,0.01,0.01,1.03,Still
254,0.06,0.05,0.04,0.01,0.01,1.03,Still
255,0.05,0.03,0.04,0.01,0.01,1.03,Still
256,0.06,0.04,0.04,0.01,0.01,1.03,Still
257,0.05,0.05,0.03,0.01,0.01,1.03,Still
258,0.06,0.05,0.04,0.01,0.01,1.03,Still
259,0.05,0.04,0.03,0.01,0.01,1.03,Still
260,0.07,0.04,0.03,0.01,0.01,1.03,Still
261,0.05,0.04,0.04,0.01,0.01,1.03,Still
262,0.05,0.04,0.04,0.01,0.01,1.03,Still
263,0.05,0.05,0.04,0.01,0.01,1.04,Still
264,0.05,0.05,0.04,0.01,0.01,1.04,Still
265,0.06,0.05,0.03,0.02,0.01,1.03,Still
266,0.05,0.05,0.03,0.01,0.01,1.03,Still
267,0.06,0.04,0.04,0.01,0.01,1.03,Still
268,0.06,0.04,0.04,0.01,0.01,1.03,Still
