seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
0,0.04,0.05,0.03,0,0.01,0.73,UpDown
1,0.06,0.03,0.04,0.01,0.01,0.94,UpDown
2,0.05,0.05,0.04,0.01,0.01,1.01,UpDown
3,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
4,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
5,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
6,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
7,0.06,0.05,0.04,0.01,0.01,1.03,UpDown
8,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
9,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
10,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
11,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
12,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
13,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
14,0.06,0.06,0.03,0.01,0.01,1.03,UpDown
15,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
16,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
17,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
18,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
19,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
20,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
21,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
22,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
23,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
24,0.06,0.05,0.04,0.01,0.01,1.03,UpDown
25,0.06,0.04,0.03,0.01,0.01,1.04,UpDown
26,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
27,0.06,0.05,0.04,0.01,0.01,1.03,UpDown
28,0.06,0.03,0.03,0.01,0.01,1.03,UpDown
29,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
30,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
31,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
32,0.06,0.04,0.03,0.01,0.01,1.03,UpDown
33,0.06,0.05,0.05,0.01,0.01,1.03,UpDown
34,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
35,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
36,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
37,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
38,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
39,0.05,0.05,0.03,0.01,0.01,1.03,UpDown
40,0.06,0.05,0.03,0.01,0.01,1.03,UpDown
41,0.05,0.04,0.03,0.01,0.01,1.03,UpDown
42,0.05,0.04,0.04,0.01,0.01,1.03,UpDown
43,0.05,0.05,0.04,0.01,0.01,1.03,UpDown
44,0.04,0.05,0.03,0.01,0.01,1.03,UpDown
